	AF_1	AF_2	AF_3	AF_4	AM_1	AM_2	AM_3	AM_4	AP1_1	AP1_2	AP1_3	AP2_1	AP2_2	AP2_3	AP2_4	BF_1	BF_2	BF_3	BF_4	BM_1	BM_2	BM_3	BP_1	BP_2	BP_3	BP_4	BS_1	BS_2	BS_3	BS_4
ASV_1	533	400	669	634	738	733	527	513	575	630	590	341	518	510	498	538	500	623	486	509	343	650	431	432	369	501	288	201	321	180
ASV_2	481	625	535	338	447	242	444	299	287	217	315	539	754	361	410	439	497	696	565	552	643	465	419	502	349	473	189	546	663	585
ASV_3	157	57	139	663	274	115	138	102	262	534	844	958	171	398	216	876	796	251	591	862	582	296	839	500	369	245	29	64	102	29
ASV_4	204	200	265	219	115	57	203	105	143	91	157	163	150	171	112	168	293	280	203	240	309	186	158	163	154	215	1063	515	459	465
ASV_5	181	92	138	331	185	70	401	90	333	258	139	230	274	253	212	137	109	203	311	150	75	308	546	544	241	491	81	352	263	284
ASV_6	246	143	107	93	171	61	92	115	204	48	197	108	42	76	78	189	117	135	79	114	80	231	600	80	2055	219	29	63	29	29
ASV_7	342	346	265	168	268	149	197	96	148	199	183	110	126	147	127	190	171	202	176	286	359	180	112	245	243	214	229	210	91	256
ASV_8	77	59	83	311	151	70	125	216	150	231	329	373	246	345	458	458	139	92	235	218	163	225	244	313	192	238	29	62	66	81
ASV_9	29	105	66	341	343	73	252	400	217	295	268	367	305	175	366	170	110	58	73	59	34	86	410	221	168	364	29	335	77	30
ASV_10	67	140	122	92	101	80	219	73	122	62	69	144	148	100	150	193	156	191	228	135	224	200	79	219	151	166	110	315	115	273
ASV_11	158	105	109	114	110	51	182	107	117	218	153	234	174	133	123	188	297	151	212	178	123	119	84	187	133	99	77	123	55	45
ASV_12	91	73	152	222	184	244	158	298	169	328	256	284	637	272	359	130	151	161	132	82	29	84	114	153	96	96	29	48	29	54
ASV_13	57	54	63	151	170	201	238	130	151	344	199	192	303	144	314	131	179	135	219	120	29	115	121	202	121	207	47	124	78	77
ASV_14	290	280	182	134	155	263	115	191	138	103	81	47	41	203	92	82	160	133	98	141	173	200	58	141	135	156	123	138	29	63
ASV_15	189	205	184	102	110	85	125	91	78	75	65	125	120	96	93	149	173	213	152	169	245	128	82	137	62	134	146	183	146	180
ASV_16	87	82	58	76	66	29	55	50	44	42	40	89	95	58	51	136	37	205	168	280	147	109	65	78	102	64	497	213	305	498
ASV_17	60	96	58	109	69	59	159	69	108	57	82	99	70	80	87	147	93	87	129	79	68	100	52	98	71	108	255	248	509	242
ASV_18	99	172	159	192	168	168	159	105	125	93	96	76	87	153	85	81	174	235	106	117	161	166	87	151	87	112	98	157	156	179
ASV_19	89	80	203	50	44	29	83	55	92	39	40	108	29	78	68	92	58	142	44	214	241	122	43	101	83	84	438	842	33	330
ASV_20	98	262	222	162	107	58	191	29	125	29	64	29	45	102	85	129	113	74	108	154	164	116	42	220	111	175	101	125	83	47
ASV_21	73	62	88	74	80	43	113	61	76	53	132	124	409	153	103	146	162	113	272	126	55	67	112	221	375	78	29	53	79	97
ASV_22	154	99	85	42	48	29	29	46	64	49	53	70	66	100	40	118	59	258	213	200	272	64	29	44	56	88	191	58	43	90
ASV_23	29	29	114	206	78	92	81	77	89	119	347	475	74	84	73	81	217	70	126	130	29	52	205	138	131	140	29	29	29	43
ASV_24	29	29	58	429	65	55	241	29	80	29	29	681	29	50	150	29	29	29	29	62	29	63	604	389	443	62	29	29	163	29
ASV_25	58	54	75	173	93	60	83	102	147	29	102	288	64	116	73	107	206	110	152	78	70	29	191	118	108	128	29	96	29	46
ASV_26	89	29	29	29	29	29	150	112	29	29	83	240	139	29	29	148	29	29	211	135	29	29	116	29	29	29	95	122	261	254
ASV_27	86	65	81	124	93	81	153	140	87	154	107	227	324	119	131	86	89	65	98	110	104	57	105	127	52	153	29	81	88	76
ASV_28	274	126	195	98	104	29	29	29	81	72	29	77	68	64	45	210	65	308	251	157	352	134	63	49	59	66	45	29	29	38
